type,path,size_bytes,size_human,extension,pct_of_parent
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\bin\brotlicommon.dll",207360,"202.50 KB",".dll",0.0164956
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\json.hpp",201924,"197.19 KB",".hpp",0.211689
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\json.hpp",201924,"197.19 KB",".hpp",0.211689
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\zstd.h",184852,"180.52 KB",".h",0.049863
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\zstd.h",184852,"180.52 KB",".h",0.049863
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\fmt\format.h",162666,"158.85 KB",".h",0.280064
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\fmt\format.h",162666,"158.85 KB",".h",0.280064
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\lib\libftxui-screen.a",151292,"147.75 KB",".a",0.0258529
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\bin\libbrotlidec.dll",142337,"139.00 KB",".dll",0.0462036
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\tools\brotli\libbrotlidec.dll",142337,"139.00 KB",".dll",0.0927681
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\tools\brotli\brotlicommon.dll",137728,"134.50 KB",".dll",0.149861
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\bin\brotlicommon.dll",137728,"134.50 KB",".dll",0.0155124
file,"D:\disktree\build\dev\.cache\clangd\index\format.h.E93C21D45C078290.idx",136742,"133.54 KB",".idx",0.366508
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\bin\brotlidec.dll",131072,"128.00 KB",".dll",0.0104268
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\bin\fmt.dll",119808,"117.00 KB",".dll",0.013494
file,"D:\disktree\build\dev\.cache\clangd\index\base.h.730EB0396E0AE026.idx",116046,"113.33 KB",".idx",0.311037
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\catch2\vcpkg.spdx.json",112244,"109.61 KB",".json",0.656474
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\catch2\vcpkg.spdx.json",112222,"109.59 KB",".json",0.656768
file,"D:\disktree\build\dev\CMakeFiles\4.2.3-msvc3\CompilerIdCXX\CMakeCXXCompilerId.exe",110080,"107.50 KB",".exe",0.772529
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\fmt\base.h",105031,"102.57 KB",".h",0.180833
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\fmt\base.h",105031,"102.57 KB",".h",0.180833
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\input\binary_reader.hpp",104932,"102.47 KB",".hpp",0.452498
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\input\binary_reader.hpp",104932,"102.47 KB",".hpp",0.452498
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\impl\App_inl.hpp",97014,"94.74 KB",".hpp",0.438495
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\impl\App_inl.hpp",97014,"94.74 KB",".hpp",0.438495
file,"D:\disktree\Screenshot 2026-05-27 112529.png",89416,"87.32 KB",".png",0.000166486
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\thirdparty\hedley\hedley.hpp",86072,"84.05 KB",".hpp",0.939917
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\thirdparty\hedley\hedley.hpp",86072,"84.05 KB",".hpp",0.939917
file,"D:\disktree\disktree_export.json",85110,"83.12 KB",".json",0.000158468
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\fmt\format-inl.h",81008,"79.11 KB",".h",0.139472
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\fmt\format-inl.h",81008,"79.11 KB",".h",0.139472
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\fmt\chrono.h",77454,"75.64 KB",".h",0.133354
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\fmt\chrono.h",77454,"75.64 KB",".h",0.133354
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\TypeTools.hpp",76648,"74.85 KB",".hpp",0.154958
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\TypeTools.hpp",76648,"74.85 KB",".hpp",0.154958
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\output\binary_writer.hpp",71657,"69.98 KB",".hpp",0.618367
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\output\binary_writer.hpp",71657,"69.98 KB",".hpp",0.618367
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\App.hpp",63456,"61.97 KB",".hpp",0.128288
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\App.hpp",63456,"61.97 KB",".hpp",0.128288
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\input\lexer.hpp",55523,"54.22 KB",".hpp",0.239432
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\input\lexer.hpp",55523,"54.22 KB",".hpp",0.239432
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\bin\brotlidec.dll",52224,"51.00 KB",".dll",0.00588201
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\tools\brotli\brotlidec.dll",52224,"51.00 KB",".dll",0.0568245
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\debug\lib\libfmtd.dll.a",52128,"50.91 KB",".a",0.000601564
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\lib\libfmt.dll.a",52058,"50.84 KB",".a",0.00889573
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\macro_scope.hpp",51847,"50.63 KB",".hpp",0.0809693
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\macro_scope.hpp",51847,"50.63 KB",".hpp",0.0809693
file,"D:\disktree\build\dev\CMakeFiles\4.2.3-msvc3\CMakeDetermineCompilerABI_CXX.bin",51712,"50.50 KB",".bin",0.25651
file,"D:\disktree\build\dev\build.ninja",50769,"49.58 KB",".ninja",0.000119131
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\doc\httplib\README.md",48775,"47.63 KB",".md",1
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\doc\httplib\README.md",48775,"47.63 KB",".md",1
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\lib\zstd.lib",45308,"44.25 KB",".lib",0.000323051
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\lib\zstd.lib",45308,"44.25 KB",".lib",0.000300346
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\output\serializer.hpp",40155,"39.21 KB",".hpp",0.346519
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\output\serializer.hpp",40155,"39.21 KB",".hpp",0.346519
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\conversions\to_chars.hpp",38578,"37.67 KB",".hpp",0.495428
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\conversions\to_chars.hpp",38578,"37.67 KB",".hpp",0.495428
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\json_pointer.hpp",37199,"36.33 KB",".hpp",0.0580936
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\json_pointer.hpp",37199,"36.33 KB",".hpp",0.0580936
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\nlohmann-json\vcpkg.spdx.json",32853,"32.08 KB",".json",0.919479
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\nlohmann-json\vcpkg.spdx.json",32352,"31.59 KB",".json",0.916254
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\Option.hpp",31992,"31.24 KB",".hpp",0.0646776
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\Option.hpp",31992,"31.24 KB",".hpp",0.0646776
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\tools\brotli\brotli.exe",31232,"30.50 KB",".exe",0.0339833
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\input\json_sax.hpp",31133,"30.40 KB",".hpp",0.134255
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\input\json_sax.hpp",31133,"30.40 KB",".hpp",0.134255
file,"D:\disktree\build\dev\CMakeFiles\4.2.3-msvc3\CompilerIdCXX\CMakeCXXCompilerId.cpp",30429,"29.72 KB",".cpp",0.213547
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\impl\Config_inl.hpp",30375,"29.66 KB",".hpp",0.137292
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\impl\Config_inl.hpp",30375,"29.66 KB",".hpp",0.137292
file,"D:\disktree\build\dev\.cache\clangd\index\color.h.4F576B044D62867C.idx",30330,"29.62 KB",".idx",0.0812932
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\meta\type_traits.hpp",29415,"28.73 KB",".hpp",0.632758
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\meta\type_traits.hpp",29415,"28.73 KB",".hpp",0.632758
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\debug\lib\fmtd.lib",28706,"28.03 KB",".lib",0.000190292
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\lib\fmt.lib",28632,"27.96 KB",".lib",0.000204149
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\fmt\ranges.h",28126,"27.47 KB",".h",0.0484249
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\fmt\ranges.h",28126,"27.47 KB",".h",0.0484249
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\ftxui\vcpkg.spdx.json",27755,"27.10 KB",".json",0.652215
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\ftxui\vcpkg.spdx.json",27731,"27.08 KB",".json",0.651681
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\zdict.h",26903,"26.27 KB",".h",0.00725696
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\zdict.h",26903,"26.27 KB",".h",0.00725696
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\internal\catch_clara.hpp",26617,"25.99 KB",".hpp",0.0877158
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\internal\catch_clara.hpp",26617,"25.99 KB",".hpp",0.0877158
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\impl\Option_inl.hpp",26588,"25.96 KB",".hpp",0.120176
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\impl\Option_inl.hpp",26588,"25.96 KB",".hpp",0.120176
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\ExtraValidators.hpp",26219,"25.60 KB",".hpp",0.0530064
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\ExtraValidators.hpp",26219,"25.60 KB",".hpp",0.0530064
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\iterators\iter_impl.hpp",24869,"24.29 KB",".hpp",0.580265
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\iterators\iter_impl.hpp",24869,"24.29 KB",".hpp",0.580265
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\brotli\vcpkg.spdx.json",24524,"23.95 KB",".json",0.89848
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\fmt\color.h",24145,"23.58 KB",".h",0.0415708
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\fmt\color.h",24145,"23.58 KB",".h",0.0415708
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\internal\catch_template_test_registry.hpp",24074,"23.51 KB",".hpp",0.0793354
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\internal\catch_template_test_registry.hpp",24074,"23.51 KB",".hpp",0.0793354
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\fmt\std.h",23532,"22.98 KB",".h",0.0405153
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\fmt\std.h",23532,"22.98 KB",".h",0.0405153
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\cli11\vcpkg.spdx.json",23045,"22.50 KB",".json",0.714795
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\cli11\vcpkg.spdx.json",23025,"22.49 KB",".json",0.716486
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\internal\catch_decomposer.hpp",23001,"22.46 KB",".hpp",0.0757993
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\internal\catch_decomposer.hpp",23001,"22.46 KB",".hpp",0.0757993
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\internal\catch_preprocessor.hpp",22692,"22.16 KB",".hpp",0.074781
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\internal\catch_preprocessor.hpp",22692,"22.16 KB",".hpp",0.074781
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\CLI\impl\StringTools_inl.hpp",22075,"21.56 KB",".hpp",0.0997772
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\CLI\impl\StringTools_inl.hpp",22075,"21.56 KB",".hpp",0.0997772
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\conversions\from_json.hpp",21648,"21.14 KB",".hpp",0.278009
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\conversions\from_json.hpp",21648,"21.14 KB",".hpp",0.278009
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\brotli\vcpkg.spdx.json",21599,"21.09 KB",".json",0.883395
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\catch_tostring.hpp",21179,"20.68 KB",".hpp",0.03382
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\catch_tostring.hpp",21179,"20.68 KB",".hpp",0.03382
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\nlohmann_json\nlohmann_json.natvis",20838,"20.35 KB",".natvis",0.775396
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\fmt\compile.h",20493,"20.01 KB",".h",0.0352831
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\fmt\compile.h",20493,"20.01 KB",".h",0.0352831
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\catch2\internal\catch_compiler_capabilities.hpp",20363,"19.89 KB",".hpp",0.0671058
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\catch2\internal\catch_compiler_capabilities.hpp",20363,"19.89 KB",".hpp",0.0671058
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\zstd\copyright",20086,"19.62 KB","",0.429234
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\zstd\copyright",20086,"19.62 KB","",0.437099
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\brotli\encode.h",20068,"19.60 KB",".h",0.367505
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\brotli\encode.h",20068,"19.60 KB",".h",0.367505
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\fmt\printf.h",19991,"19.52 KB",".h",0.0344188
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\fmt\printf.h",19991,"19.52 KB",".h",0.0344188
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\input\parser.hpp",19712,"19.25 KB",".hpp",0.085004
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\input\parser.hpp",19712,"19.25 KB",".hpp",0.085004
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\input\input_adapters.hpp",19635,"19.17 KB",".hpp",0.0846719
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\include\nlohmann\detail\input\input_adapters.hpp",19635,"19.17 KB",".hpp",0.0846719
file,"D:\disktree\build\dev\.cache\clangd\index\catch_tostring.hpp.015754B8CCBD210C.idx",19326,"18.87 KB",".idx",0.0517993
file,"D:\disktree\build\dev\CMakeCache.txt",19144,"18.70 KB",".txt",4.49221e-05
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\share\fmt\vcpkg.spdx.json",18727,"18.29 KB",".json",0.603629
file,"D:\disktree\vcpkg_installed\x64-mingw-dynamic\share\fmt\vcpkg.spdx.json",17774,"17.36 KB",".json",0.592803
file,"D:\disktree\build\dev\vcpkg_installed\x64-windows\include\nlohmann\detail\conversions\to_json.hpp",17642,"17.23 KB",".hpp",0.226563
